record_id,Datetime,loc_spec,descr,identity_spec,future_use,loc_spec_english,descr_english,identity_spec_english,future_use_english
MPI_S201,2023-08-14T11:30:00Z,NA,"At work, first in a corridor and then in a meeting, colleagues asked me about the glasses. they joked about how it looks like I'm recording and found it funny!",NA,Not at all,NA,"At work, first in a corridor and then in a meeting, colleagues asked me about the glasses. They joked about how it looks like I'm recording and found it funny!",NA,Not at all
MPI_S201,2023-08-14T12:30:00Z,NA,"walking to get lunch shortly after getting glasses, have received a lot of looks from people in public. could be confirmation bias as I was very aware of wearing the glasses for the first time, but I had the impression that people seemed more apprehensive",NA,"I am considering how to best explain that I'm not wearing a camera or recording people if someone confronts me about it, but won't change my use of the glasses",NA,"Walking to get lunch shortly after getting the glasses. I received a lot of looks from people in public. It could be confirmation bias as I was very aware of wearing the glasses for the first time, but I had the impression that people seemed more apprehensive.",NA,"I am considering how to best explain that I'm not wearing a camera or recording people if someone confronts me about it, but I will not change my use of the glasses."
MPI_S201,2023-08-15T08:00:00Z,NA,"having to explain to each colleague I run into about the glasses is a bit draining, hopefully now most people know and I will have this conversation less often",NA,N/A,NA,Having to explain to each colleague I run into about the glasses is a bit draining. Hopefully now most people know and I will have this conversation less often.,NA,NA
MPI_S201,2023-08-14T17:00:00Z,NA,"Flatmate saw the glasses and had a positive reaction, thinking the experiment is very cool :)",NA,N/A,NA,"Flatmate saw the glasses and had a positive reaction, thinking the experiment is very cool :)",NA,NA
MPI_S201,2023-08-17T06:48:00Z,NA,"on the street, someone approached me and asked about the glasses. I explained best I could (although my German is not so good) that it's not a camera but it took a few minutes and was a bit uncomfortable.",NA,N/A,NA,"On the street, someone approached me and asked about the glasses. I explained as best I could (although my German is not so good) that it's not a camera, but it took a few minutes and was a bit uncomfortable.",NA,NA
MPI_S201,2023-08-17T19:25:00Z,NA,"the glasses don't have padding for the nose, and with the chunky frame and the added weight of the sensor, they are uncomfortable to wear for a long time.",NA,"when it starts being painful, I will take a break from the glasses.",NA,"The glasses don't have padding for the nose, and with the chunky frame and the added weight of the sensor, they are uncomfortable to wear for a long time.",NA,"When it starts being painful, I will take a break from the glasses."
MPI_S201,2023-08-14T11:30:00Z,NA,"At work, first in a corridor and then in a meeting, colleagues asked me about the glasses. they joked about how it looks like I'm recording and found it funny!",NA,Not at all,NA,"At work, first in a corridor and then in a meeting, colleagues asked me about the glasses. They joked about how it looks like I'm recording and found it funny!",NA,Not at all
MPI_S201,2023-08-14T12:30:00Z,NA,"walking to get lunch shortly after getting glasses, have received a lot of looks from people in public. could be confirmation bias as I was very aware of wearing the glasses for the first time, but I had the impression that people seemed more apprehensive",NA,"I am considering how to best explain that I'm not wearing a camera or recording people if someone confronts me about it, but won't change my use of the glasses",NA,"I was walking to get lunch shortly after getting the glasses. I received a lot of looks from people in public. This could be confirmation bias as I was very aware of wearing the glasses for the first time, but I had the impression that people seemed more apprehensive.",NA,"I am considering how to best explain that I'm not wearing a camera or recording people if someone confronts me about it, but I won't change my use of the glasses."
MPI_S201,2023-08-15T08:00:00Z,NA,"having to explain to each colleague I run into about the glasses is a bit draining, hopefully now most people know and I will have this conversation less often",NA,N/A,NA,Having to explain to each colleague I run into about the glasses is a bit draining. Hopefully now most people know and I will have this conversation less often.,NA,NA
MPI_S201,2023-08-14T17:00:00Z,NA,"Flatmate saw the glasses and had a positive reaction, thinking the experiment is very cool :)",NA,N/A,NA,"Flatmate saw the glasses and had a positive reaction, thinking the experiment is very cool :)",NA,NA
MPI_S201,2023-08-17T06:48:00Z,NA,"on the street, someone approached me and asked about the glasses. I explained best I could (although my German is not so good) that it's not a camera but it took a few minutes and was a bit uncomfortable.",NA,N/A,NA,"On the street, someone approached me and asked about the glasses. I explained as best I could (although my German is not so good) that it's not a camera, but it took a few minutes and was a bit uncomfortable.",NA,NA
MPI_S201,2023-08-17T19:25:00Z,NA,"the glasses don't have padding for the nose, and with the chunky frame and the added weight of the sensor, they are uncomfortable to wear for a long time.",NA,"when it starts being painful, I will take a break from the glasses.",NA,"The glasses don't have padding for the nose, and with the chunky frame and the added weight of the sensor, they are uncomfortable to wear for a long time.",NA,"When it starts being painful, I will take a break from the glasses."
MPI_S204,2023-08-14T19:49:00Z,NA,Been asked politely by a employee of the Deutsche Bahn to not film in the train. Had to explain the misunderstanding. This will probably happen a few more times in the coming week.,NA,"Thinking about wearing a shirt that reads: ""I'm not filming, just recording light levels."" In all seriousness, I thought something like this was gonna Happen, so my behaviour at this point is unaffected. Although the shirt does sound like a good idea",NA,Been asked politely by an employee of the Deutsche Bahn to not film in the train. Had to explain the misunderstanding. This will probably happen a few more times in the coming week.,NA,"Thinking about wearing a shirt that reads: ""I'm not filming, just recording light levels."" In all seriousness, I thought something like this was going to happen, so my behaviour at this point is unaffected. Although the shirt does sound like a good idea."
MPI_S204,2023-08-16T17:05:00Z,NA,"A customer in the supermarket asked me, if it was a camera. He seemed more impressed than annoyed.",NA,Won't influence me,NA,A customer in the supermarket asked me if it was a camera. He seemed more impressed than annoyed.,NA,Won't influence me.
MPI_S205,2023-08-28T16:01:00Z,NA,"I went grocery shopping and expected people tò look strangely, but there was no akward reaction.",NA,It does not influence my behaviour.,NA,"I went grocery shopping and expected people to look strangely, but there was no awkward reaction.",NA,It does not influence my behaviour.
MPI_S205,2023-08-29T10:04:00Z,NA,"Since I am not used to wear glasses, It Is a Little annoying when doing my usual activities around the house and with my children. The frame of the glasses Is disturbing.",NA,"i am still wearing the glasses in the Hope ti get used to them, but Is still a Little annoying.",NA,"Since I am not used to wearing glasses, it is a little annoying when doing my usual activities around the house and with my children. The frame of the glasses is disturbing.",NA,"I am still wearing the glasses in the hope to get used to them, but it is still a little annoying."
