record_id,type,type_english
MPI_S201,walking to/from bus stop approx. 15 mine,walking to/from bus stop approximately 15 minutes
MPI_S201,walking ~ 1 hour total,walking (approximately 1 hour)
MPI_S201,Carrying heavy objects ~30 minutes total,"Carrying heavy objects, approximately 30 minutes total"
MPI_S201,running,running
MPI_S201,bouldering,bouldering
MPI_S201,swimming,swimming
MPI_S202,NA,NA
MPI_S202,Kind of yoga. Increase the stability of muscle in my back.,Kind of yoga. Increase the stability of muscle in my back.
MPI_S204,Cycling,Cycling
MPI_S204,cycling,cycling
MPI_S205,Walking the dog,Walking the dog
MPI_S205,NA,NA
MPI_S205,"Walking the dog, playing outdoors with the kids","Walking the dog, playing outdoors with the kids"
MPI_S205,Walk the dog,Walk the dog
MPI_S205,Walking,Walking
MPI_S205,Walking through Legoland and doing different rides,Walking through Legoland and doing different rides
MPI_S206,NA,NA
MPI_S206,walks around outside.,walks around outside.
MPI_S206,walked to the supermarket,walked to the supermarket
MPI_S206,grocery shopping,grocery shopping
MPI_S206,walk to a friend's house,walk to a friend's house
MPI_S208,Table tennis,Table tennis
MPI_S208,Dance,Dance
MPI_S208,Martial arts,Martial arts
MPI_S208,Martial Arts,Martial Arts
MPI_S208,Swimming,Swimming
MPI_S209,NA,NA
MPI_S209,karate,karate
MPI_S209,gym,gym
MPI_S209,walking and gym,walking and gym
MPI_S210,I ran from the Morgenstelle to the Cyberneum and rook a walk in the evening,I ran from the Morgenstelle to the Cyberneum and took a walk in the evening
MPI_S210,Just walking down the hill from the office,Just walking down the hill from the office
MPI_S210,wwalk from work (90min),walking from work (90 min)
MPI_S210,walk halfway to office and all the way back,walk halfway to office and all the way back
MPI_S210,some walking and a small amount of lifting weights,some walking and a small amount of lifting weights
MPI_S210,"walking, running part way to train station, some weigghtlifting","walking, partially running to train station, some weightlifting"
MPI_S210,"running, a small amount of weight lifting","running, a small amount of weight lifting"
MPI_S212,"light cycling, walk uphill","light cycling, walk uphill"
MPI_S212,"weight lifting, body weight exercises","weight lifting, body weight exercises"
MPI_S212,"cycling to work, brisk walking","cycling to work, brisk walking"
MPI_S212,"body weight, weight lifting","body weight, weight lifting"
MPI_S212,"short sprint sessions (HIIT), cycling","short sprint sessions (HIIT), cycling"
MPI_S212,"cycling, body weight training","cycling, body weight training"
MPI_S212,"Bodyweight workout, some weight lifting. Light cycling","Bodyweight workout, weight lifting, and light cycling"
MPI_S213,Walk,Walk
MPI_S213,Animal management,Animal management
MPI_S213,Experiment,Experiment
MPI_S213,NA,NA
MPI_S214,Jogging,Jogging
MPI_S214,NA,NA
MPI_S215,NA,NA
MPI_S215,Going on a walk in the forest,Going on a walk in the forest
MPI_S215,Walking,Walking
MPI_S215,Horse back riding,Horseback riding
MPI_S216,Walking,Walking
MPI_S218,Walking,Walking
MPI_S218,Weight training in the gym,Weight training in the gym
MPI_S218,"Running, cardio","Running, cardio"
MPI_S218,"Running, walking","Running, walking"
MPI_S218,Garba dance at an event,Garba dance at an event
MPI_S218,Running,Running
MPI_S219,NA,NA
MPI_S219,Yoga,Yoga
MPI_S219,Walking (taking a stroll around the city),Walking
MPI_S221,NA,NA
MPI_S221,fitness,fitness
MPI_S221,weight training,weight training
MPI_S222,NA,NA
MPI_S222,running outdoor followed by some exercises while indoor like push up etc,running outdoors followed by indoor exercises such as push-ups
MPI_S222,run outdoor and physical exercise indoor,run outdoors and exercise indoors
